Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","USB_C_Receptacle_USB2.0_16P","HRO-TYPE-C-31-M-12",40.805000,-25.410000,180.000000,bottom
"R1","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.270000,-30.790000,180.000000,bottom
"R2","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",43.310000,-30.790000,0.000000,bottom
"R3","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.760000,-66.480000,-90.000000,bottom
"R4","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",213.522500,-85.530000,-90.000000,bottom
"R5","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",189.710000,-66.480000,-90.000000,bottom
"R6","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",275.435000,-28.380000,-90.000000,bottom
"R7","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",256.385000,-28.380000,-90.000000,bottom
"R8","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",237.335000,-28.380000,-90.000000,bottom
"R9","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",84.935000,-28.380000,-90.000000,bottom
"R10","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.885000,-28.380000,-90.000000,bottom
"R11","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.835000,-28.380000,-90.000000,bottom
"R12","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",194.472500,-85.530000,-90.000000,bottom
"R13","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.172500,-85.530000,-90.000000,bottom
"R14","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",170.660000,-66.480000,-90.000000,bottom
"R15","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",75.410000,-66.480000,-90.000000,bottom
"R16","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.122500,-85.530000,-90.000000,bottom
"R17","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.222500,-85.530000,-90.000000,bottom
"R18","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",175.422500,-85.530000,-90.000000,bottom
"R19","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",227.810000,-66.480000,-90.000000,bottom
"R20","120 Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",232.572500,-85.530000,-90.000000,bottom
"REF**","Brook P5","Brook P5",123.480000,-55.070000,-90.000000,bottom
"REF**","60_Outline","60_Outline-Modded",165.100000,-69.850000,0.000000,top
"S1","Keyswitch","MX-1U-FLIPPED",79.975000,-70.380000,180.000000,top
"S2","Keyswitch","MX-1U-FLIPPED",84.737500,-89.430000,180.000000,top
"S3","Keyswitch","MX-1U-FLIPPED",65.687500,-89.430000,180.000000,top
"S4","Keyswitch","MX-1U-FLIPPED",103.787500,-89.430000,180.000000,top
"S5","Keyswitch","MX-1U-FLIPPED",70.450000,-32.280000,180.000000,top
"S6","Keyswitch","MX-1U-FLIPPED",89.500000,-32.280000,180.000000,top
"S7","Keyswitch","MX-1U-FLIPPED",51.400000,-32.280000,180.000000,top
"S8","Keyswitch","MX-1U-FLIPPED",175.225000,-70.380000,180.000000,top
"S9","Keyswitch","MX-1U-FLIPPED",194.275000,-70.380000,180.000000,top
"S10","Keyswitch","MX-1U-FLIPPED",213.325000,-70.380000,180.000000,top
"S11","Keyswitch","MX-1U-FLIPPED",232.375000,-70.380000,180.000000,top
"S12","Keyswitch","MX-1U-FLIPPED",241.900000,-32.280000,180.000000,top
"S13","Keyswitch","MX-1U-FLIPPED",179.987500,-89.430000,180.000000,top
"S14","Keyswitch","MX-1U-FLIPPED",199.037500,-89.430000,180.000000,top
"S15","Keyswitch","MX-1U-FLIPPED",218.087500,-89.430000,180.000000,top
"S16","Keyswitch","MX-1U-FLIPPED",260.950000,-32.280000,180.000000,top
"S17","Keyswitch","MX-1U-FLIPPED",280.000000,-32.280000,180.000000,top
"S18","Keyswitch","MX-1U-FLIPPED",237.137500,-89.430000,180.000000,top
